RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01
97748,94541,Hayward,CA,San Francisco,Alameda,346,402
70377,29223,Columbia,SC,Columbia,Richland,347,72
70056,28601,Hickory,NC,Hickory,Catawba,348,87
62036,11225,New York,NY,New York,Kings,349,625
72220,32792,Goldenrod,FL,Orlando,Seminole,350,133
96236,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,351,404
62024,11213,New York,NY,New York,Kings,352,538
71532,31419,Savannah,GA,Savannah,Chatham,353,91
85866,63021,Ballwin,MO,St. Louis,Saint Louis,354,151
97940,95035,Milpitas,CA,San Jose,Santa Clara,355,556
92345,78249,San Antonio,TX,San Antonio,Bexar,356,99
62080,11368,New York,NY,New York,Queens,357,548
96657,92115,San Diego,CA,San Diego,San Diego,358,347
70482,29445,Goose Creek,SC,Charleston,Berkeley,359,107
63615,14580,Town of Webster,NY,Rochester,Monroe,360,110
69275,27284,Kernersville,NC,Winston-Salem,Forsyth,361,88
85947,63129,Oakville,MO,St. Louis,Saint Louis,362,134
96646,92104,San Diego,CA,San Diego,San Diego,363,487
66143,20020,Washington,DC,Washington,District of Columbia,364,249
64009,15301,Washington,PA,Pittsburgh,Washington,365,108
96186,90631,La Habra,CA,Los Angeles-Long Beach-Anaheim,Orange,366,374
60368,6516,West Haven,CT,New Haven,New Haven,367,133
94738,85022,Phoenix,AZ,Phoenix,Maricopa,368,152
97202,93274,Tulare,CA,Visalia,Tulare,369,128
62014,11203,New York,NY,New York,Kings,370,315
94799,85204,Mesa,AZ,Phoenix,Maricopa,371,137
94883,85301,Glendale,AZ,Phoenix,Maricopa,372,99
96964,92646,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,373,449
97167,93230,Hanford,CA,Hanford,Kings,374,128
71344,30909,Augusta,GA,Augusta,Richmond,375,76
70791,30004,Milton,GA,Atlanta,Fulton,376,149
90612,75002,Allen,TX,Dallas-Fort Worth,Collin,377,126
58565,1960,Peabody,MA,Boston,Essex,378,236
97792,94587,Union City,CA,San Francisco,Alameda,379,453
71342,30906,Augusta,GA,Augusta,Richmond,380,47
96965,92647,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,381,458
87073,66061,Olathe,KS,Kansas City,Johnson,382,125
71434,31088,Warner Robins,GA,Warner Robins,Houston,383,70
96962,92630,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange,384,373
97952,95051,Santa Clara,CA,San Jose,Santa Clara,385,759
99575,98115,Seattle,WA,Seattle,King,386,420
72103,32608,Gainesville,FL,Gainesville,Alachua,387,117
94724,85008,Phoenix,AZ,Phoenix,Maricopa,388,137
99048,97045,Oregon City,OR,Portland,Clackamas,389,211
95806,89110,Las Vegas,NV,Las Vegas,Clark,390,111
96846,92376,Rialto,CA,Riverside,San Bernardino,391,205
61645,10031,New York,NY,New York,New York,392,866
72653,33511,Brandon,FL,Tampa,Hillsborough,393,113
98135,95355,Modesto,CA,Modesto,Stanislaus,394,169
73761,36117,Montgomery,AL,Montgomery,Montgomery,395,79
